content,score
keren,5
sukses untuk GOTO,5
Kenapa tidak bisa top up,1
"Saya beli hp di sini baru ini begini, resellernya gada tanggung jawabnya. Tokoped pun sama!! Kecewa saya. Buat yg lain hati hati beli disini.",1
good job,5
"banyak Gratis Ongkir, UI menarik dan tidak bikin mata pusing seperti E-commerce sebelah.",5
good,5
cashback sama diskon makin pelit sekarang,2
Mantulll,5
sangat membatu sekali,5
memuaskan,5
Makin kesini makin gak asik,1
oke,5
mantabz,5
Banyak yang nggak bisa cod Tolong diperbaiki,2
Ijust use,4
good,5
mantap,5
"Mf sebelunya,saya suka belanja ditokopedia,karna apa?.Mudah,murah,ongkir tejangkau.untuk saya yg usaha kecil-kecilan. Eh skarang malah naik jd bingung mbaginya....",3
ok,5
"pembayaran nya mudah, bisa dgn gopay ..",4
Parah tokopedia sekarang. Akun satu keluarga di banned semua. Padahal pake belanja sehari2 sama bayar tagihan yg di rmh. Ga jelas banget,1
"Dulu udah ga perlu mikir ongkir, sekarang harus kena ongkir lagi. Error terus terusan, bikin pilu ni aplikasi sekarang",1
"Skrng ongkirny naik cukup tinggi, ssh kl mw diputr u/ djual kmbl.......😭😭😭",4
"Tokopedia sekarang pelit gratis ongkirnya, saya tinggal di Lampung. Biasa gratis ongkir kena 2k-5k doang, ini malah kena 25k, gila banget kan",1
is good.,5
aplikasi cepat sekali,5
"Susah banget mau komplain, nomor call center gak ada ,CS whatsapp gak ada, live chat aplikasi gak ada ,adapun chat yang bales robot -_-",1
InshaAlloh berkah,5
lancar jaya,5
ok lah,5
ok,5
Terimakasih,4
baguss,5
"Nice, aplikasi belanja No.1",5
"Ok, Mantap.",5
jooos,5
sangat bagus,5
"Ini namanya bukan tokopedia tapi ini toko maling!!! Tiap hari saldo kesedot 5000 dari ovo ,gatau maksudnya apaan ,padahal gapernah transaksi di tokped ,punya aplikasinya aja kaga",1
TERIMA KASIH MONYET,1
Tokped sdh bgs tolong pertahankan tapi jasa pengiriman nya sekarang malah tambah jelek... Tambah lama... Tolong di benahin.... Trims,2
"Sebagai cust Tkoped yg sudah bertahun-tahun dan sering belanja jg, belakangan sangat kecewa dgn kebijakan yg baru. Belanja di tokped jadi tidak nyaman. Promo yg katanya bebas ongkir, tp ternyata ada yg jg yg tetap hrs bayar ongkir 20rb antara Mdn - Jkt. Itu namanya mah potongan ongkir, bkn bebas ongkir! Trs pilihan bebas ongkir jg tdk bisa digabung lg dgn voucher cashback, dan banyak tambahan² biaya lainnya!!!",2
nyaman bgt,5
sangat bagus masya Alloh,5
sangat membantu,5
Selsaikan kasus genteng baru saya tambah bintangnya,1
ok,5
Aplikasi langsung hilangbegitusaja waktu digunakan Disuruh update tapi memori penuh jadi nggak bisa2 .....,1
Gratis ongkir nya kurang banyak,3
Top,5
Bagus pelayanan nya,5
oke cpt,3
mantap,5
puas,5
👍👍👍,5
Mgak bisa belanja😕☹🙁😞😌😖😤😨😩🤯😭😭😭😭😭😭😭😰😰😰😰😰😰🥵🥵🥵,1
goodjob,5
Akun affliate diblokir😒,1
mantap,5
"Update apps tokped 19 Maret 2023, cari produk cctv yang pernah dibeli pakai filter transaksi yang pernah dilakukan, malah hanya sampai tahun 2020. Padahal pernah beli ditahun 2019 Apakah sekarang hanya sampai tahun 2020 histori transaksi?",1
"TOKOPEDIA CARE ADALAH PELAYANAN TERBURUKK SEPANJANG MASA!!! SAYA SELLER, SAYA YANG TERTUDUH! KENAPA SAYA JUGA YANG HARUS MEMBUKTIKAN, MASAK SAYA DI COMPLAIN PEMBELI GA DISUURUH MNEGIRIM BUKTI VIDEO UNBOXING!! MALAH SAYA DISURUH NGIRIM VIDEO PACKING PENGEMASAN SECARA DETAIL. HA?????????????? KALO NANTI SAYA PUNYA PESANAN RATUSAN RIBU GIMANA VIDEOIN SATU"" ????? TOKOPEDIA CARE IS THE WORST! #TOKOPEDIACAREDONTCARE 👎👎👎👎👎👎👎👎👎👎✊️✊️👎👎👎👎👎👎👎👎👎 BURUK, KECEWA DAN TIDAK CREDIBLE!!!!",1
Bgus,5
"Habis beli pulsa pake voucher, uang dikembalikan tapi voucher nya hangus👎",1
"TOKOPEDIA CARE ADALAH PELAYANAN TERBURUKK SEPANJANG MASA!!! SAYA SELLER, SAYA YANG TERTUDUH! SAYA JUGA YG SURUH NGIRIM BARANG BUKTI!! ITU YG KOMPLEN SURUH KIRIM VIDEO UNBOXING, PARAH!!!!! GAK CREDIBLE, MASIH TRAIIMINH DISURUH KERJANKAH NIH ADMINYA KEPUTUSANYA NGELUCU KOCAK WOY",1
"Agak bingung saya, tgl 10 ongkir untuk susu dan diaper bayi masih free. Kok tiba2 ongkirnya naik 17500 sejak tgl 15 Maret? Kalau kayak gini caranya bakal banyak toppers yang uninstal..",3
Nice,5
mantap,5
"beli barang , udah bayar malah dibalikin dana nya .. tidak sesuai syarat dan ketentuan katanya , dana masuk ke saldo tokopedia . mau ditarik tapi bisa ditarik nunggu 1x24 jam kerja .. halah mau beli barang ko dipersulit .. sistem pembayaran berbelit2 , ribet .. wajar kalah saing ama oren",1
Gratis ongkir tapi kena ongkir,1
tolong dikembalikan subsidi ongkir yg dulu 40rb sekarang menjadi 20rb. hal ini membuat saya jadi jarang berlanja di tokped,3
ok,5
"Isi pulsa / paket data nggak bisa dilakuin tiap hari Minggu, tapi di menu masih bisa transaksi. Aturan mah dinon-aktifkan opsi menunya kalo emang lagi libur, min. Malesin banget sumpah.",1
cashback nya kurang banyak bos😁,5
coba coba,3
Sudah tidak gratis ongkir lagi wkwkwk Hanya potongan 20rb saja 🤣 wuuu kecewa beradsss,1
sangai baik,5
Mantappppp Lekkkkk,5
okly,5
Memudahkan blanja,5
"Promo yang memanjakan pembeli, sukses trus produk lokal, Amin",5
"Pelit vocer. Produk tidak lengkap. Toko sedikit, pilihan produk tidak lengkap dan harga cukup mahal diskon juga percuma toko yang sama di aplikasi lain malah lebih murah. Hadiah vocer cuma kosmetik dan kecantikan. Emang yang belanjaa cuma cewek. Kan begok vocer nya",1
bagus,5
"saya pengguna tokopedia sudah lama ,tetapi saya sekarang kecewa dengan pelayanan tokopedia.kendala yang saya alami perihal pembatalan pesanan ,saya hanya ingin memganti alamat pemgantaran karena saya sudah pindah rumah .tapi dari respon penjual maupun dari pihak tokopedia seakan cuma melempar argumen. seakan pesanan harus tetap di kirim ,pembayaran saya melalui gopay jika pesanan tetap di kirim ,saya harus komplaian kemana lagi, saya sudah komplain ke pihal penjual ,ke pihal castamer service",1
hade(hani daden),5
mantap dan keren,5
Oke banget,5
ok banget,5
iya,5
sangat membantu,5
Suka belanja disini dan size apknya lebih kecil dari si oren. Apk tdk lemot dan gk banyak menu 👍. Klo bisa anggarkan untuk gratis ongkir di banyakin daripada sewa BA yang mahal 😂. Sukses buat tokopedia ♥️,5
"Gratis Ongkir makin sedikit nominalnya, semoga segera dapat suntikan dana lagi min 👍.",4
oke,5
mantap,5
Semoga amanah,4
mantap,5
CukupLumayan,3
